id,song_name,artist_name,album_name,genre
1,Bohemian Rhapsody,Queen,A Night at the Opera, Rock
2,Hey Jude,The Beatles,The Beatles (White Album), Rock
3,Hotel California,Eagles,Hotel California, Rock
4,Rolling in the Deep,Adele,21, Pop
5,Sweet Child o' Mine,Guns N' Roses,Appetite for Destruction, Rock
6,Imagine,John Lennon,Imagine, Pop
7,Stairway to Heaven,Led Zeppelin,Led Zeppelin IV, Rock
8,Thriller,Michael Jackson,Thriller, Funk
9,Smells Like Teen Spirit,Nirvana,Nevermind, Grunge
10,Like a Rolling Stone,Bob Dylan,Highway 61 Revisited, Rock
